	The goal of achieving bliss and the importance of honoring the feminine as a balance between energies are strong parallels in the philosophies of BDSM. “Both Tantra and BDSM are erotic arts of consciousness.”	
	Both employ sex techniques, focus on stimulating the senses, are consensual between practitioners, raise erotic energy and “encourage personal freedom, individuality and imagination”	
	Sensory experiences are not a source of suffering, but rather a source of bliss	
	Define bliss	
	a metaphysical experience	
	soulful happiness	
	the feeling of connecting with the sacred and the divine	
	Tantra emphasizes predominately reverence to the woman, which can be expressed in various ways beyond the ritual: cooking for her, serving her, or massaging her feet. BDSM coins this relationship as a Domme/submissive paralleling the female Guru/male disciple dynamic. 	
	Tantric Buddhism offers the illusion that women are in the dominant position.	
	It is as though men needed to be pushed farther away from the extreme of their egocentricity in order to embrace the role and meaning of women in the dynamic in order to achieve balance.	
	The main elements in sexual connection with the goal of ecstasy are to transcend time, become egoless, and to be in your natural state (Carrellas 18). Passion and pleasure are important, but not ignorance and lust. Detachment from the ego is critical, and intimacy exists (Shaw 168-169).	
